class,road_number,road_name,route_shield,status,status_detail,area,length_km,segments,other_names_on_road
State,0000001,Princes,A1; M1,green,Meets,rural,633.12,487,
State,0000002,Hume,M31,green,Meets,rural,1159.08,645,
State,0000003,Federal,M23,green,Meets,rural,134.88,44,
State,0000004,Snowy Mountains,B72,red,Does not meet,rural,281.63,41,
State,0000005,Great Western,A32; A44,green,Meets,urban,309.24,388,
State,0000006,Mid Western,B64; A41,red,Does not meet,rural,477.85,85,
State,0000007,Mitchell,A32; B71,red,Does not meet,rural,707.41,131,
State,0000008,Barrier,A32,red,Does not meet,rural,632.02,51,
State,0000009,New England,A15,green,Meets,rural,640.11,279,
State,0000010,Pacific,M1; A1,green,Meets,rural,1681.98,1380,
State,0000011,Oxley,B56,red,Does not meet,rural,522.02,139,
State,0000012,Gwydir,B76,red,Does not meet,rural,593.34,100,
State,0000013,Pennant Hills,A28,red,Does not meet,urban,68.46,166,
State,0000014,Sturt,A20,green,Meets,rural,595.77,75,
State,0000015,Barton,A25,green,Meets,rural,61.60,43,
State,0000016,Bruxner,B60,red,Does not meet,rural,187.09,81,
State,0000017,Newell,A39,green,Meets,rural,1054.52,145,
State,0000018,Castlereagh,B55,red,Does not meet,rural,616.83,78,
State,0000019,Monaro,B23; B72,red,Does not meet,rural,203.72,32,
State,0000020,Riverina,B58,red,Does not meet,rural,221.39,41,
State,0000021,Cobb,B75,red,Does not meet,rural,567.95,62,
State,0000022,Silver City,B79,red,Does not meet,rural,679.19,60,
State,0000023,Newcastle Inner City,A37,red,Does not meet,urban,37.23,76,
State,0000025,Illawarra,A48,red,Does not meet,rural,58.85,22,
State,0000027,Golden,B84,red,Does not meet,rural,313.45,71,Dunedoo-Dubbo
State,0000028,Carnarvon,,red,Does not meet,rural,119.13,13,
State,0000029,Kamilaroi,B76; B51,red,Does not meet,rural,588.51,59,
State,0000030,The Entrance Road,A49,red,Does not meet,urban,70.82,106,Central Coast; Wilfred Barrett
State,0000031,Gold Coast,M1,red,Does not meet,urban,2.58,6,
State,0000051,Batemans Bay-Queanbeyan,B52,red,Does not meet,rural,132.00,48,
State,0000052,Canberra - Crookwell,M31,red,Does not meet,rural,111.36,37,Sutton; Canberra-Crookwell
State,0000054,Goulburn-Ilford,A32,red,Does not meet,rural,254.14,44,Goulburn - Ilford
State,0000056,Lachlan Valley,B81,red,Does not meet,rural,201.87,30,Cowra-Forbes
State,0000057,Tullamore-Nyngan,B85,red,Does not meet,rural,430.51,60,Goldfields; West Wyalong-Condobolin; Condobolin-Tullamore
State,0000061,Orange-Parkes,,red,Does not meet,rural,200.50,37,Parkes-Condobolin
State,0000063,Tamworth-Yetman,B95,red,Does not meet,rural,269.85,37,
State,0000065,Lismore-Bangalow,B62,red,Does not meet,rural,39.65,23,Hinterland
State,0000070,Coolabah-Brewarrina,B76,red,Does not meet,rural,279.36,27,Brewarrina-Goodooga
State,0000076,Waterfall,B78,red,Does not meet,rural,166.54,51,
State,0000078,Olympic,A41,red,Does not meet,rural,315.47,86,
State,0000079,Doughboy-Goulburn,,red,Does not meet,rural,56.99,8,Braidwood; Goulburn
State,0000080,Kidman,B87,red,Does not meet,rural,299.40,64,Irrigation; Mossgeil
State,0000082,Newcastle Link,A15,red,Does not meet,urban,34.57,60,Newcastle; Thomas
State,0000083,Summerland,B91,red,Does not meet,rural,209.08,46,
State,0000084,Burley Griffin,B94,red,Does not meet,rural,255.85,41,
State,0000085,Batlow,,red,Does not meet,rural,103.60,16,Jingellic
State,0000086,Honour,,red,Does not meet,rural,4.52,2,Federation
State,0000095,Picton,B88; M1,green,Meets,rural,68.07,34,Mt Ousley
State,0000104,Richardson,,red,Does not meet,rural,35.70,37,Raymond Terrace
State,0000108,Nelson Bay,B63,red,Does not meet,rural,75.68,44,
State,0000139,Beecroft,A3,red,Does not meet,urban,11.82,34,Blaxland
State,0000154,The Northern Road,A9,red,Does not meet,rural,99.57,80,
State,0000155,Mulgoa,A44,green,Meets,rural,23.95,24,Network Change - Mulgoa; Park
State,0000156,Castle Hill,A28,red,Does not meet,urban,4.37,11,
State,0000157,Showground,,red,Does not meet,urban,6.84,12,
State,0000158,Marsden,A6,red,Does not meet,urban,4.08,8,
State,0000159,Pittwater,A8,red,Does not meet,urban,10.10,24,Sydney
State,0000160,Old Northern,A2,red,Does not meet,rural,42.24,34,
State,0000161,Galston,B83,red,Does not meet,rural,14.69,13,
State,0000162,Mona Vale,A3,red,Does not meet,urban,52.61,79,Lane Cove
State,0000164,Pittwater,A8,red,Does not meet,urban,63.70,143,Barrenjoey
State,0000165,Victoria,A40; A4,red,Does not meet,urban,60.33,186,
State,0000166,Burns Bay,A40,red,Does not meet,urban,8.16,26,
State,0000167,Milperra,A34,red,Does not meet,urban,34.44,73,Canterbury
State,0000168,Forest,M8; A3; A36,red,Does not meet,urban,18.72,52,
State,0000169,Bexley,A36; A1,red,Does not meet,urban,7.38,16,Bay
State,0000170,Botany,M1,red,Does not meet,urban,19.29,64,
State,0000171,Anzac,M1,red,Does not meet,urban,22.01,57,Bunnerong
State,0000172,Oxford,,red,Does not meet,urban,9.97,25,Syd Einfeld; Bondi
State,0000173,New South Head,,red,Does not meet,urban,10.15,37,
State,0000174,Mccarrs Creek,,red,Does not meet,rural,7.06,6,
State,0000177,Appin,B69,red,Does not meet,rural,57.55,72,Campbelltown
State,0000179,Menangle,B69,red,Does not meet,rural,23.67,21,
State,0000181,Mcgraths Hill-Nr Singleton,A2,red,Does not meet,rural,159.86,28,Wollombi
State,0000182,Sackville,A9,red,Does not meet,rural,24.62,12,Wilberforce
State,0000183,Gardeners,A36,red,Does not meet,urban,9.05,26,
State,0000184,Bells Line Of Road,B59; A2,red,Does not meet,urban,132.81,106,Windsor
State,0000185,Lawrence Hargrave,B65,red,Does not meet,urban,19.90,17,
State,0000190,Alfords Point,A6,red,Does not meet,urban,64.05,144,Silverwater
State,0000191,Delhi,A38,red,Does not meet,urban,4.91,16,Millwood; Fullers
State,0000193,Erskineville,A36,red,Does not meet,urban,1.98,9,Swanson; Fountain
State,0000194,General Holmes,A1; M1,green,Meets,urban,21.21,45,The Grand Parade
State,0000195,Main,M15,red,Does not meet,urban,19.99,14,Mulbring-Kurri Kurri; Cessnock
State,0000199,Taren Point,A1,red,Does not meet,urban,13.90,26,Rocky Point
State,0000200,King Georges,A3,green,Meets,urban,51.53,153,Roberts
State,0000209,Denman,B84,red,Does not meet,rural,21.10,3,
State,0000217,Wangi,B53,red,Does not meet,urban,45.26,59,Lake
State,0000220,Wine Country,B82,red,Does not meet,rural,64.09,31,Toronto-Branxton
State,0000225,Wisemans Ferry,,red,Does not meet,rural,55.56,10,
State,0000227,Kingsway,,red,Does not meet,urban,15.50,21,
State,0000253,Carrington,A32,red,Does not meet,rural,113.32,23,
State,0000260,Old Hume,B73,green,Meets,urban,25.91,19,Moss Vale
State,0000261,Bomaderry-Moss Vale,B73,red,Does not meet,rural,55.66,18,Sheepwash; Kangaloon
State,0000262,Tongarra,A48,red,Does not meet,urban,3.34,8,
